date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2020/10/30,111.059998,111.989998,107.720001,108.860001,190272600,108.672516
2020/10/29,112.370003,116.93,112.199997,115.32,146129200,115.121384
2020/10/28,115.050003,115.43,111.099998,111.199997,143937800,111.008476
2020/10/27,115.489998,117.279999,114.540001,116.599998,92276800,116.399178
2020/10/26,114.010002,116.550003,112.879997,115.050003,111850700,114.851852
2020/10/23,116.389999,116.550003,114.279999,115.040001,82572600,114.841873
2020/10/22,117.449997,118.040001,114.589996,115.75,101988000,115.550644
2020/10/21,116.669998,118.709999,116.449997,116.870003,89946000,116.668724
2020/10/20,116.199997,118.980003,115.629997,117.510002,124423700,117.307617
2020/10/19,119.959999,120.419998,115.660004,115.980003,120639300,115.780251
2020/10/16,121.279999,121.550003,118.809998,119.019997,115393800,118.81501
2020/10/15,118.720001,121.199997,118.150002,120.709999,112559200,120.502106
2020/10/14,121,123.029999,119.620003,121.190002,151062300,120.981277
2020/10/13,125.269997,125.389999,119.650002,121.099998,262330500,120.891434
2020/10/12,120.059998,125.18,119.279999,124.400002,240226800,124.185753
2020/10/9,115.279999,117,114.919998,116.970001,100506900,116.768547
2020/10/8,116.25,116.400002,114.589996,114.970001,83477200,114.771988
2020/10/7,114.620003,115.550003,114.129997,115.080002,96849000,114.881805
2020/10/6,115.699997,116.120003,112.25,113.160004,161498200,112.965111
2020/10/5,113.910004,116.650002,113.550003,116.5,106243800,116.299355
2020/10/2,112.889999,115.370003,112.220001,113.019997,144712000,112.825348
2020/10/1,117.639999,117.720001,115.830002,116.790001,116120400,116.58886
2020/9/30,113.790001,117.260002,113.620003,115.809998,142675200,115.610542
2020/9/29,114.550003,115.309998,113.57,114.089996,99382200,113.893501
2020/9/28,115.010002,115.32,112.779999,114.959999,137672400,114.762009
2020/9/25,108.43,112.440002,107.669998,112.279999,149981400,112.086624
2020/9/24,105.169998,110.25,105,108.220001,167743300,108.033615
2020/9/23,111.620003,112.110001,106.769997,107.120003,150718700,106.935509
2020/9/22,112.68,112.860001,109.160004,111.809998,183055400,111.617432
2020/9/21,104.540001,110.190002,103.099998,110.080002,195713800,109.890411
2020/9/18,110.400002,110.879997,106.089996,106.839996,287104900,106.655991
2020/9/17,109.720001,112.199997,108.709999,110.339996,178011000,110.149963
2020/9/16,115.230003,116,112.040001,112.129997,154679000,111.936882
2020/9/15,118.330002,118.830002,113.610001,115.540001,184642000,115.341011
2020/9/14,114.720001,115.93,112.800003,115.360001,140150100,115.161316
2020/9/11,114.57,115.230003,110,112,180860300,111.807106
2020/9/10,120.360001,120.5,112.5,113.489998,182274400,113.29454
